"load_extension('/home/s062372/lib/libsqlitefunctions,so')"

operation;implementation;count;"dur (µs)";"duration (µs) per op";"ops per ms"
insert;rollback_reorder_lazy;260;869,376;3,34375384615385;299,06507656066
insert;rollback_reorder_lazy;260;740,864;2,84947692307692;350,941603317208
insert;rollback_reorder_lazy;260;1349,12;5,18892307692308;192,718216318786
insert;rollback_reorder_lazy;605;1037,312;1,7145652892562;583,238215695953
insert;rollback_reorder_lazy;605;1038,848;1,7171041322314;582,375862493839
insert;rollback_reorder_lazy;605;1181,952;1,95363966942149;511,865118042019
insert;rollback_reorder_lazy;605;1796,608;2,9696;336,745689655172
insert;rollback_reorder_lazy;605;1691,392;2,79568925619835;357,693544725291
insert;rollback_reorder_lazy;605;1304,576;2,15632396694215;463,752207613815
insert;rollback_reorder_lazy;605;1033,216;1,70779504132231;585,550359266601
insert;rollback_reorder_lazy;605;1363,456;2,25364628099174;443,725356740518
insert;rollback_reorder_lazy;605;1480,704;2,44744462809917;408,589427731674
insert;rollback_reorder_lazy;605;1616,896;2,67255537190083;374,173725459151
insert;rollback_reorder_lazy;1390;2180,096;1,56841438848921;637,586601690935
insert;rollback_reorder_lazy;1390;1826,048;1,3137035971223;761,206715267069
insert;rollback_reorder_lazy;1390;2679,296;1,92755107913669;518,792996369196
insert;rollback_reorder_lazy;1390;2457,856;1,76824172661871;565,533538173107
insert;rollback_reorder_lazy;1390;2323,968;1,67191942446043;598,114948226482
insert;rollback_reorder_lazy;1390;1838,592;1,32272805755396;756,013297131718
insert;rollback_reorder_lazy;1390;2098,432;1,50966330935252;662,399353421984
insert;rollback_reorder_lazy;1390;2035,968;1,46472517985612;682,721928831887
insert;rollback_reorder_lazy;1390;2627,84;1,89053237410072;528,95153433999
insert;rollback_reorder_lazy;1390;2210,304;1,59014676258993;628,872770442437
insert;rollback_reorder_lazy;3200;3823,872;1,19496;836,848095333735
insert;rollback_reorder_lazy;3200;4179,2;1,306;765,696784073507
insert;rollback_reorder_lazy;3200;3771,648;1,17864;848,435484965723
insert;rollback_reorder_lazy;3200;3266,048;1,02064;979,777394575952
insert;rollback_reorder_lazy;3200;3199,232;0,99976;1000,24005761383
insert;rollback_reorder_lazy;3200;3491,072;1,09096;916,623890885092
insert;rollback_reorder_lazy;3200;3759,616;1,17488;851,150755821871
insert;rollback_reorder_lazy;3200;3311,36;1,0348;966,370313103982
insert;rollback_reorder_lazy;3200;4921,6;1,538;650,195058517555
insert;rollback_reorder_lazy;3200;3285,76;1,0268;973,899493572264
